เบา ดูฮา555  ขำ  ได้ ชอบความที่นางชอบ ตลอด	pos
รีวิวแบบจริงจัง!ไม่ใส่ไข่ใส่สีหนังแย่ ไม่สมควรดู ไม่ใช่คนดูหนังไม่เป็น แต่แย่คือแย่จริงตอนเห็นตัวอย่างออกมา น่าดูมาก	neg
แต่ละตัวละครก็คาแรคเตอร์ชัดเจนดี แก้เบื่อได้ดีมากๆๆ	pos
มันมากๆ สนุก55 อยากให้ดู ชอบทุกตัวละคร	pos
เรื่องดำเนินไวมาก แต่ละฉากเหมือนอยากใส่ก็ใส่มา ดูเหมือนยัดเยียด	neg
ทุกตัวละครมีความเรียลมาก  ดูแล้วไม่รู้สีกรักหรือเกลียดใครเลย มีเหตุมีผล ปังจริง แนะนำ	pos
แก้เบื่อ555	pos
การยอมรับความเป็นตัวเอง ดูง่าย แก้เบื่อได้ดีมาก แต่ละตัวละครน่ารัก	pos
ดำเนินเรื่องง่ายมาก เนือย ไม่มีรหวือหวา อบอุ่น การที่คนเราจะรักกันได้นานขนาดนี้มันเป็นเพราะอะไรนะ	pos
ความผูกพัน ความรัก ความเข้าใจ Pleading face	pos
ตอนที่ชอบที่สุดเลย อันนี้แหละคือคู่กันที่แท้จริง	pos
อบอุ่นมาก เรื่องน่ารัก ตลก ดำเนินเรื่องเข้าใจง่าย ดูแล้วหัวใจพองโตจริง	pos
หัวใจพองโต	pos
สนุกใช้ได้ เรื่องพลิกใช้ได้ ลุ้นบางตอน นางเอกมาสไตล์นิ่ม ซวยซ้ำซวยซ้อน555 ดูได้ไม่น่าเบื่อเลย มีเลือดสาดเพียงกลาง เล็กน้อย เน้นเล่าเรื่องมากกว่า	pos
ดูง่ายยยยยมากกก	pos
เรื่องออกแนวแฟนตาซี อบอุ่น ดูได้ทุกวัย	pos
ดีมาก ปังมาก แรก เหมือนไม่สนุก แต่มันและลุ้นมากมันส์มากก นักแสดงดี ดำเนินเรื่องจะย้อนเวลาไปมาหน่อย แต่เข้าใจง่าย	pos
เหมือนไม่สนุก	pos
มันส์มากก สนุก ชอบความที่ซีรี่ย์ใส่รายละเอียดความเป็นไทยไปในเรื่องด้วย เริสสสสสสส ดูเถอะ	pos
บอกเลยว่ามันดีต่อใจมากเหมือนกลับไปเป็นเด็กอีกครั้งมันเป็นการกลับมาที่อิ่มอกอิ่มใจนี่ยอมรับว่าร้องไห้เลยแหละ55555มันทั้งสนุก ตลก	pos
ดีต่อใจ	pos
มีครบทุกรสชาติเลยทีเดียวไม่อยากรีวิวเยอะอยาก	pos
ครบทุกรสชาติ	pos
สนุกแบบดาร์กคอมเมดี้ ทั้งตลกและเศร้าในเวลาเดียวกัน เป็นอีกเรื่องที่แนะนำให้ดูเลย	pos
ถึงอายุจะเยอะ แต่ใจยังได้นะ	pos
ที่รอคอยมานานกว่า 9 ปี เป็นอะไรที่ตื่นเต้นมาก ความรู้สึกตอนนี้ดูมันอิ่มเอมไปหมด เหมือนได้รียูเนี่ยนเจอสิ่งของที่รักสมัยก่อน	pos
ใครที่มีของเล่นดูแล้วจะรักของเล่นมากขึ้น	pos
สนุกดี ตอนแรกเหมือนจะน่าเบื่อแต่ดูไปดูมาเรื่องซับซ้อนกว่าที่คิด เรื่องนี้ไม่ค่อยเก่ง แต่จบหักมุมใช้ได้ ดูได้ไม่เสียเวลา	pos
ไม่เสียเวลา	pos
ง่าย ไม่ซับซ้อนเนื้อเรื่องเดาง่าย ตัวละครบางตัวน่ารำคาญแต่โดยรวมดูได้ ชอบในความพยายาม แก้เบื่อได้ แต่ไม่ได้ว้าว555	pos
เหมือนจะน่าเบื่อ	pos
เป็นการค้นพบตัวตนที่แท้จริง เล่นประเด็นดีต่อได้อย่างแข็งแรง ดูจบแล้วกลับมาหมดทุกความรู้สึกและความผูกพัน	pos
ไม่เคยรู้เลยว่า เรารักพวกเขามากขนาดนี้	pos
ไม่อยากให้จบ	pos
น้ำตาซึม	pos
ดูเถอะดีมาก	pos
รักใจนางมาก ดีมาก เสียดายมีแค่ 3 ซซ เท่านั้น	pos
